address,num_transactions,%total_transactions
0x2ed60bd4577fda2efbb4e036b58a329696890efc,4,0.05
0xe162ed9189622c4f54c3fa80ca56177bf67c4ebc,4,0.05
0x40c6aadaee0341762cabffb0dcbef50098af6ab0,4,0.05
0x0f9188c5df6fe711aedd126ccf3a534c2d2b781b,4,0.05
0x636910a57f9b0310ac59c123feea493df7f7656c,4,0.05
0x08fc063aa9c8232f04a6bf6068e3b6de404ef2f6,4,0.05
0xf7af0c0e484f71f998649141c6206a098e9a01b1,4,0.05
0x4c23c316079d93c9f1e17fd43e2f00220f0e91a5,4,0.05
0x28a6d652911ac6d96c046bdea37834a25ecf2151,4,0.05
0x56921fc14840c9238fe25a9200584691df6e8044,4,0.05
0x74fa768dcbc28240d2679e72c42e418280b48773,4,0.05
0x31db502798775a77fb5f528ddc0605e075a47365,4,0.05
0xbd617ee78b75059185496ee1d330b0770db0296a,4,0.05
0x06f3039eb1f5134b66d7a76fc7986a7574c9324b,4,0.05
0x8e40e74243aaeb23ed6927a788f3acd0949f2cf2,4,0.05
0x32a88f097056c773569abb6a3cf8d88228466e00,4,0.05
0x71ed9bf644655a845aa08e068fd9aca7a2b5342b,4,0.05
0xd3b9fa9fb94715f7931a17f91686db9cf05f5e97,4,0.05
0x654ad5d5d51496c801766f7171b8f9de87471e57,4,0.05
0x696ac7fddca3a86c3325c639c55d16226c231811,4,0.05
0x70597e29ecefb1b553a7f0b6dc2c259a16f7bc9d,4,0.05
0xc8aec8ff89189f80d0eec52bdd91bbeed98a0904,4,0.05
0x98ec9ae20014bb870a6ce88bef417dbc1544c402,4,0.05
0x1da6f7fd7527500e7b87bdb3a60e61527930adb1,4,0.05
0xf6b738a8fef757e7b14408ef6a71a4b02e857171,4,0.05
0x54f7b57c3c30f615b02b1f483e3c19ecfc442825,4,0.05
0x0a2ab8af6092736c9c5eb3526fdb1924e466abaa,4,0.05
0xf56731dc6dc04c5528e02b9ef2119629d2e5cc5d,4,0.05
